Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit
ORD302,2024-02-24,C111,Customer 46 ,Home office,east,Furniture,Storage,Storage Product,9,86017,0.15,20566
ORD284,2024-03-28,C083,Customer 47 ,Corporate,EAST,Electronics,Laptop,Laptop Product,3,148157,0.15,23496
ORD150,2024-04-16,C066,Customer 48 ,Home office,west,Electronics,Accessories,Accessories Product,9,144941,0.05,-2661
ORD098,2024-02-09,C210,  Rahul Sharma ,Consumer,West ,Fashion,Apparel,Apparel Product,9,131004,0.0,2543
ORD357,27-04-2024,C056,Customer 50 ,Corporate,west,Furniture,Table,Table Product,2,N/A,0.0,24377
ORD283,2024-02-12,C084,Customer 51 ,consumer,east,Furniture,Table,Table Product,7,132439,0.1,10780
ORD142,2024-01-29,C151,Customer 52 ,Home office,east,Fashion,Apparel,Apparel Product,7,81816,0.1,18259
ORD174,2024-01-02,C056,Customer 53 ,Home Office,west,,Apparel,Apparel Product,3,90107,0.0,16030
ORD424,2024-01-29,C039,Customer 54 ,Home office,east,Electronics,Laptop,Laptop Product,2,147207,0.05,8615
ORD034,13-01-2024,C210,Customer 55 ,Corporate,east,Furniture,Table,Table Product,5,95428,0.1,4767
ORD050,2024-03-04,C242,  Rahul Sharma ,Home office,EAST,,Mobile,Mobile Product,3,70156,0.05,-4858
ORD090,2024-01-08,C060,Customer 57 ,Home office,west,Electronics,Mobile,Mobile Product,3,17974,0.0,8977
ORD359,2024-03-20,C247,Customer 58 ,Home office,EAST,,Chair,Chair Product,5,140841,0.0,21767
ORD168,2024-03-09,C174,Customer 59 ,Consumer,EAST,Electronics,Accessories,Accessories Product,3,146285,0.15,6887
ORD470,26-01-2024,C174,Customer 60 ,Corporate,South,,Apparel,Apparel Product,5,N/A,0.05,6274
ORD094,2024-03-13,C129,Customer 61 ,Home office,West ,,Mobile,Mobile Product,5,140668,0.1,2368
ORD412,2024-03-29,C194,Customer 62 ,Home office,EAST,Electronics,Accessories,Accessories Product,1,72579,0.05,3371
ORD299,2024-04-03,C055,  Rahul Sharma ,Consumer,west,Electronics,Mobile,Mobile Product,7,85107,0.15,20039
ORD226,2024-01-15,C281,Customer 64 ,Home Office,West ,Fashion,Footwear,Footwear Product,9,55549,0.0,-3778
ORD046,02-03-2024,C296,Customer 65 ,Home office,west,Fashion,Apparel,Apparel Product,4,109721,0.0,14584
ORD443,2024-04-27,C118,Customer 66 ,consumer,west,,Mobile,Mobile Product,10,17281,0.05,9427
ORD449,2024-01-14,C056,Customer 67 ,Consumer,West ,,Chair,Chair Product,9,109844,0.0,12684
ORD131,2024-01-24,C035,Customer 68 ,Home Office,east,Furniture,Chair,Chair Product,5,121138,0.05,23513
ORD113,2024-03-12,C109,Customer 69 ,Consumer,EAST,Electronics,Accessories,Accessories Product,5,3786,0.05,15323
ORD454,16-04-2024,C283,  Rahul Sharma ,Home Office,EAST,Fashion,Accessories,Accessories Product,6,N/A,0.05,5936
ORD050,2024-03-31,C214,Customer 71 ,consumer,West ,Furniture,Chair,Chair Product,8,137528,0.05,20215
ORD174,2024-04-29,C003,Customer 72 ,consumer,South,Electronics,Mobile,Mobile Product,1,24053,0.15,-1559
ORD407,2024-02-16,C111,Customer 73 ,Home Office,West ,,Mobile,Mobile Product,9,45263,0.15,11935
ORD133,2024-02-17,C248,Customer 74 ,Home Office,west,,Chair,Chair Product,5,19497,0.15,2562
ORD251,01-03-2024,C035,Customer 75 ,consumer,South,,Apparel,Apparel Product,6,37191,0.1,21883
ORD264,2024-03-30,C120,Customer 76 ,consumer,West ,Furniture,Storage,Storage Product,4,63536,0.05,2478
ORD444,2024-04-05,C049,  Rahul Sharma ,Home Office,EAST,Electronics,Mobile,Mobile Product,4,64089,0.0,24142
ORD214,2024-04-11,C152,Customer 78 ,consumer,South,,Mobile,Mobile Product,2,136445,0.15,4976
ORD206,2024-04-03,C300,Customer 79 ,Corporate,EAST,Furniture,Chair,Chair Product,6,97709,0.0,22427
ORD094,28-03-2024,C269,Customer 80 ,Corporate,east,Electronics,Laptop,Laptop Product,3,N/A,0.1,-6661
ORD122,2024-04-13,C034,Customer 81 ,Corporate,EAST,Fashion,Accessories,Accessories Product,1,135957,0.05,2874
ORD439,2024-01-02,C231,Customer 82 ,Consumer,east,,Mobile,Mobile Product,3,23049,0.0,14299
ORD473,2024-04-19,C198,Customer 83 ,consumer,West ,Fashion,Footwear,Footwear Product,3,44395,0.1,1156
ORD235,2024-02-18,C252,  Rahul Sharma ,Home Office,west,Electronics,Laptop,Laptop Product,3,46414,0.0,19688
ORD438,02-03-2024,C214,Customer 85 ,Corporate,east,Furniture,Chair,Chair Product,10,108796,0.1,13681
ORD304,2024-01-01,C116,Customer 86 ,Home Office,West ,,Chair,Chair Product,6,56964,0.1,21450
ORD269,2024-03-15,C098,Customer 87 ,Corporate,South,Furniture,Table,Table Product,4,58897,0.0,15944
ORD174,2024-02-24,C052,Customer 88 ,Home office,east,,Apparel,Apparel Product,6,48720,0.05,-5307
ORD305,2024-02-19,C194,Customer 89 ,Consumer,EAST,Furniture,Table,Table Product,7,60080,0.05,3976
ORD056,31-01-2024,C170,Customer 90 ,Home Office,West ,Electronics,Laptop,Laptop Product,4,N/A,0.05,9766
ORD229,2024-01-27,C189,  Rahul Sharma ,Home Office,east,,Mobile,Mobile Product,8,121484,0.15,15585
ORD167,2024-04-20,C048,Customer 92 ,consumer,west,Fashion,Accessories,Accessories Product,6,114823,0.0,18261
ORD204,2024-03-28,C178,Customer 93 ,Consumer,west,Furniture,Chair,Chair Product,5,40309,0.15,12118
ORD153,2024-03-19,C142,Customer 94 ,Home office,west,,Apparel,Apparel Product,2,69774,0.0,13177
ORD303,25-04-2024,C247,Customer 95 ,Home office,west,,Apparel,Apparel Product,9,54857,0.0,5183
ORD437,2024-04-27,C125,Customer 96 ,Consumer,east,Fashion,Accessories,Accessories Product,10,133116,0.15,-5944
ORD499,2024-04-28,C261,Customer 97 ,Corporate,west,Fashion,Apparel,Apparel Product,4,83650,0.0,12008
ORD079,2024-03-20,C154,  Rahul Sharma ,Corporate,EAST,Electronics,Laptop,Laptop Product,6,6079,0.0,9442
ORD264,2024-02-01,C076,Customer 99 ,Corporate,West ,Electronics,Accessories,Accessories Product,5,113667,0.1,9146
ORD114,18-04-2024,C228,Customer 100 ,Consumer,West ,Furniture,Chair,Chair Product,10,N/A,0.0,22965
ORD191,2024-04-08,C206,Customer 101 ,Corporate,east,Furniture,Table,Table Product,2,71513,0.15,11519
ORD494,2024-03-21,C257,Customer 102 ,Home Office,east,Electronics,Mobile,Mobile Product,3,60996,0.1,5556
ORD023,2024-02-21,C232,Customer 103 ,Consumer,West ,Electronics,Mobile,Mobile Product,9,83691,0.15,13418
ORD135,2024-04-01,C272,Customer 104 ,Home Office,South,Furniture,Chair,Chair Product,2,63656,0.0,-1068
ORD085,11-01-2024,C017,  Rahul Sharma ,consumer,west,Fashion,Footwear,Footwear Product,3,17127,0.0,5307
ORD233,2024-02-11,C163,Customer 106 ,Home office,South,Furniture,Table,Table Product,5,120985,0.1,6151
ORD143,2024-02-09,C212,Customer 107 ,consumer,EAST,Electronics,Mobile,Mobile Product,10,51539,0.1,5866
ORD206,2024-03-27,C133,Customer 108 ,Consumer,EAST,,Mobile,Mobile Product,6,126471,0.05,2137
ORD074,2024-03-03,C248,Customer 109 ,Consumer,west,Electronics,Mobile,Mobile Product,2,73902,0.0,21743
ORD263,20-03-2024,C283,Customer 110 ,Corporate,east,Fashion,Accessories,Accessories Product,4,N/A,0.0,16706
ORD113,2024-02-24,C110,Customer 111 ,Consumer,east,Furniture,Chair,Chair Product,4,81221,0.15,1307
ORD350,2024-02-11,C236,  Rahul Sharma ,Home office,east,Fashion,Footwear,Footwear Product,8,38013,0.0,-5861
ORD484,2024-03-22,C291,Customer 113 ,Home Office,West ,Furniture,Chair,Chair Product,5,131977,0.15,19920
ORD366,2024-02-22,C168,Customer 114 ,Home Office,west,Electronics,Accessories,Accessories Product,10,131081,0.05,18001
ORD023,04-04-2024,C148,Customer 115 ,Home office,South,Fashion,Accessories,Accessories Product,3,37546,0.15,8303
ORD456,2024-03-12,C159,Customer 116 ,consumer,west,Fashion,Accessories,Accessories Product,7,37666,0.05,11626
ORD436,2024-04-24,C092,Customer 117 ,consumer,West ,Electronics,Mobile,Mobile Product,1,17525,0.1,9301
ORD267,2024-02-06,C157,Customer 118 ,Home Office,west,,Mobile,Mobile Product,2,25055,0.1,20728
ORD302,2024-04-05,C280,  Rahul Sharma ,Consumer,South,Electronics,Accessories,Accessories Product,3,144162,0.15,22170
ORD081,21-02-2024,C237,Customer 120 ,consumer,South,,Chair,Chair Product,4,N/A,0.0,-2273
ORD357,2024-04-07,C084,Customer 121 ,Home office,west,Furniture,Storage,Storage Product,2,8486,0.1,7191
ORD336,2024-03-12,C127,Customer 122 ,Consumer,east,,Chair,Chair Product,9,63993,0.1,20888
ORD370,2024-02-21,C231,Customer 123 ,Consumer,west,Electronics,Laptop,Laptop Product,10,26571,0.15,1429
ORD326,2024-03-01,C208,Customer 124 ,Consumer,east,Fashion,Footwear,Footwear Product,1,39604,0.0,22075
ORD387,18-02-2024,C204,Customer 125 ,Consumer,South,Furniture,Storage,Storage Product,4,9744,0.15,11735
ORD456,2024-03-21,C008,  Rahul Sharma ,Home office,west,Electronics,Accessories,Accessories Product,9,45449,0.05,15903
ORD115,2024-01-19,C023,Customer 127 ,consumer,West ,Electronics,Laptop,Laptop Product,8,53659,0.0,17760
ORD222,2024-01-25,C008,Customer 128 ,Home Office,EAST,Furniture,Storage,Storage Product,10,11704,0.15,-6951
ORD188,2024-03-10,C034,Customer 129 ,Home office,west,Electronics,Accessories,Accessories Product,2,116492,0.0,17103
ORD463,25-02-2024,C175,Customer 130 ,Corporate,east,Electronics,Laptop,Laptop Product,7,N/A,0.1,5006
ORD476,2024-02-23,C105,Customer 131 ,Consumer,South,,Mobile,Mobile Product,2,114111,0.1,2712
ORD134,2024-02-23,C253,Customer 132 ,Consumer,West ,Fashion,Footwear,Footwear Product,5,134696,0.15,8113
ORD143,2024-01-08,C039,  Rahul Sharma ,Consumer,EAST,Furniture,Storage,Storage Product,9,141336,0.15,11506
ORD258,2024-03-24,C092,Customer 134 ,Corporate,EAST,Fashion,Accessories,Accessories Product,10,126056,0.05,15274
ORD296,28-03-2024,C131,Customer 135 ,Consumer,west,Furniture,Table,Table Product,10,52231,0.15,16450
ORD315,2024-04-03,C060,Customer 136 ,Consumer,east,Furniture,Chair,Chair Product,4,76785,0.1,-6500
ORD004,2024-04-17,C200,Customer 137 ,Home office,east,,Mobile,Mobile Product,1,81459,0.1,5934
ORD243,2024-01-07,C136,Customer 138 ,Home office,east,,Mobile,Mobile Product,2,62541,0.0,12032
ORD080,2024-02-28,C122,Customer 139 ,consumer,South,Fashion,Accessories,Accessories Product,1,110939,0.1,21527
ORD493,30-01-2024,C158,  Rahul Sharma ,Home Office,EAST,,Chair,Chair Product,9,N/A,0.1,17097
ORD349,2024-04-19,C044,Customer 141 ,Corporate,east,Furniture,Chair,Chair Product,3,50170,0.0,16060
ORD325,2024-02-04,C132,Customer 142 ,Home Office,West ,Electronics,Mobile,Mobile Product,10,88334,0.1,1194
ORD299,2024-03-27,C288,Customer 143 ,consumer,EAST,Furniture,Chair,Chair Product,3,40839,0.1,20652
ORD455,2024-02-22,C131,Customer 144 ,Home office,west,Fashion,Footwear,Footwear Product,5,102856,0.05,-5731
ORD327,06-01-2024,C109,Customer 145 ,Consumer,EAST,Fashion,Footwear,Footwear Product,3,53137,0.15,3337
ORD406,2024-04-09,C206,Customer 146 ,consumer,South,Fashion,Apparel,Apparel Product,8,142692,0.1,2599
ORD414,2024-01-21,C256,  Rahul Sharma ,Home office,west,Fashion,Apparel,Apparel Product,10,74531,0.15,15278
ORD459,2024-03-19,C245,Customer 148 ,Home Office,South,,Chair,Chair Product,5,65571,0.15,18862
ORD105,2024-04-10,C238,Customer 149 ,Home Office,east,Electronics,Laptop,Laptop Product,10,55715,0.15,22541
ORD089,26-02-2024,C180,Customer 150 ,Home Office,west,Electronics,Laptop,Laptop Product,5,N/A,0.15,10700
ORD083,2024-03-07,C262,Customer 151 ,Corporate,EAST,Furniture,Table,Table Product,5,99651,0.15,7554
ORD329,2024-03-21,C277,Customer 152 ,Home office,South,,Chair,Chair Product,7,23180,0.05,-1161
ORD464,2024-03-25,C260,Customer 153 ,Home Office,west,Fashion,Footwear,Footwear Product,7,43853,0.0,20028
ORD315,2024-02-29,C252,  Rahul Sharma ,Corporate,South,,Chair,Chair Product,10,77337,0.15,16533
ORD230,16-03-2024,C242,Customer 155 ,Corporate,EAST,,Apparel,Apparel Product,9,108188,0.1,18602
ORD292,2024-01-08,C242,Customer 156 ,Consumer,South,Fashion,Apparel,Apparel Product,4,5781,0.0,1195
ORD377,2024-02-23,C257,Customer 157 ,consumer,EAST,Electronics,Accessories,Accessories Product,3,104841,0.0,13475
ORD489,2024-04-23,C044,Customer 158 ,Home office,South,,Apparel,Apparel Product,2,107405,0.1,3399
ORD232,2024-01-04,C167,Customer 159 ,Corporate,west,,Chair,Chair Product,6,147874,0.0,24916
ORD263,06-04-2024,C191,Customer 160 ,Consumer,South,Fashion,Apparel,Apparel Product,7,N/A,0.1,-3564
ORD203,2024-03-01,C111,  Rahul Sharma ,Home Office,West ,Furniture,Table,Table Product,9,95051,0.05,6253
ORD480,2024-02-21,C188,Customer 162 ,consumer,South,Furniture,Chair,Chair Product,7,20779,0.15,16735
ORD113,2024-03-05,C258,Customer 163 ,consumer,South,Electronics,Laptop,Laptop Product,9,74820,0.1,24209
ORD306,2024-03-06,C245,Customer 164 ,Consumer,west,Furniture,Table,Table Product,4,66216,0.1,21968
ORD258,21-01-2024,C063,Customer 165 ,Home Office,West ,Fashion,Accessories,Accessories Product,5,81629,0.15,9453
ORD052,2024-04-09,C247,Customer 166 ,Corporate,west,Electronics,Accessories,Accessories Product,6,143290,0.1,21547
ORD008,2024-01-03,C033,Customer 167 ,Corporate,EAST,,Chair,Chair Product,7,126957,0.0,7667
ORD395,2024-02-04,C048,  Rahul Sharma ,Consumer,West ,Fashion,Footwear,Footwear Product,1,113401,0.15,-1785
ORD109,2024-03-23,C098,Customer 169 ,Home office,EAST,Fashion,Accessories,Accessories Product,8,33508,0.0,13565
ORD229,18-04-2024,C176,Customer 170 ,Home Office,east,Furniture,Chair,Chair Product,10,N/A,0.1,23814
ORD020,2024-01-14,C111,Customer 171 ,Corporate,west,Electronics,Accessories,Accessories Product,1,76932,0.0,9222
ORD466,2024-01-09,C179,Customer 172 ,Home office,east,Fashion,Accessories,Accessories Product,5,69001,0.1,20127
ORD282,2024-04-20,C183,Customer 173 ,Home office,east,Fashion,Footwear,Footwear Product,3,75482,0.0,23974
ORD023,2024-04-21,C284,Customer 174 ,Home Office,east,,Mobile,Mobile Product,6,2576,0.05,4869
ORD218,02-01-2024,C001,  Rahul Sharma ,Consumer,EAST,,Mobile,Mobile Product,8,136285,0.1,24725
ORD263,2024-03-31,C267,Customer 176 ,Consumer,West ,Fashion,Accessories,Accessories Product,2,75752,0.15,-4926
ORD205,2024-03-01,C103,Customer 177 ,consumer,West ,Fashion,Apparel,Apparel Product,2,98545,0.1,17698
ORD445,2024-04-11,C054,Customer 178 ,Home office,east,Furniture,Table,Table Product,4,52437,0.05,1077
ORD227,2024-03-12,C114,Customer 179 ,Home office,West ,Fashion,Accessories,Accessories Product,6,147932,0.0,10233
ORD032,27-01-2024,C158,Customer 180 ,Consumer,west,Furniture,Storage,Storage Product,9,N/A,0.15,10777
ORD093,2024-01-15,C108,Customer 181 ,consumer,east,Furniture,Chair,Chair Product,10,11997,0.05,16819
ORD004,2024-01-30,C038,  Rahul Sharma ,Corporate,east,Fashion,Footwear,Footwear Product,5,104501,0.15,11704
ORD096,2024-02-08,C019,Customer 183 ,Home office,EAST,,Chair,Chair Product,8,100737,0.0,23263
ORD294,2024-01-09,C040,Customer 184 ,Consumer,South,,Mobile,Mobile Product,1,832,0.1,-3984
ORD299,20-03-2024,C209,Customer 185 ,Home Office,east,,Mobile,Mobile Product,3,117449,0.1,2593
ORD363,2024-04-29,C260,Customer 186 ,Consumer,South,,Mobile,Mobile Product,7,124248,0.1,10866
ORD223,2024-02-27,C286,Customer 187 ,Home Office,EAST,Fashion,Footwear,Footwear Product,9,51521,0.1,9137
ORD449,2024-01-25,C184,Customer 188 ,Corporate,South,Electronics,Mobile,Mobile Product,4,40559,0.1,21281
ORD122,2024-01-12,C252,  Rahul Sharma ,Corporate,east,,Apparel,Apparel Product,10,109634,0.15,16544
ORD029,25-02-2024,C221,Customer 190 ,Corporate,west,Electronics,Laptop,Laptop Product,9,N/A,0.1,17130
ORD193,2024-01-22,C022,Customer 191 ,Consumer,EAST,Furniture,Storage,Storage Product,6,115393,0.15,23363
ORD269,2024-03-07,C273,Customer 192 ,Home Office,EAST,Fashion,Footwear,Footwear Product,2,39977,0.0,-1667
ORD197,2024-02-24,C109,Customer 193 ,Corporate,West ,,Apparel,Apparel Product,10,109483,0.0,8085
ORD224,2024-03-14,C113,Customer 194 ,Home office,West ,Fashion,Footwear,Footwear Product,9,85820,0.15,12266
ORD283,10-02-2024,C124,Customer 195 ,Home office,EAST,Furniture,Storage,Storage Product,1,56238,0.0,17296
ORD372,2024-03-11,C215,  Rahul Sharma ,consumer,EAST,Electronics,Accessories,Accessories Product,1,79281,0.0,4670
ORD316,2024-01-31,C272,Customer 197 ,Home Office,West ,Electronics,Mobile,Mobile Product,7,147910,0.0,9629
ORD180,2024-04-17,C235,Customer 198 ,consumer,east,Furniture,Chair,Chair Product,4,89161,0.05,13869
ORD024,2024-04-28,C245,Customer 199 ,consumer,South,Electronics,Accessories,Accessories Product,8,7996,0.15,559
ORD312,04-02-2024,C188,Customer 200 ,Consumer,EAST,Furniture,Chair,Chair Product,5,N/A,0.0,-4133
ORD070,2024-01-09,C184,Customer 201 ,consumer,South,Electronics,Mobile,Mobile Product,8,55280,0.0,8253
ORD198,2024-02-01,C246,Customer 202 ,Corporate,West ,,Apparel,Apparel Product,8,125206,0.0,17681
ORD196,2024-02-15,C114,  Rahul Sharma ,Consumer,west,Furniture,Table,Table Product,5,96434,0.0,20043
ORD372,2024-04-09,C245,Customer 204 ,Home Office,South,Electronics,Accessories,Accessories Product,3,45736,0.0,1111
ORD274,02-02-2024,C074,Customer 205 ,consumer,South,Electronics,Mobile,Mobile Product,2,93190,0.1,2564
ORD039,2024-04-30,C143,Customer 206 ,Consumer,east,,Chair,Chair Product,9,3278,0.1,883
ORD150,2024-04-15,C007,Customer 207 ,Home office,EAST,Furniture,Storage,Storage Product,5,146834,0.05,5083
ORD462,2024-04-11,C141,Customer 208 ,Corporate,east,Furniture,Table,Table Product,2,134736,0.1,-4833
ORD207,2024-03-15,C035,Customer 209 ,consumer,west,Electronics,Laptop,Laptop Product,4,49584,0.15,18908
ORD483,20-04-2024,C106,  Rahul Sharma ,Consumer,EAST,Fashion,Accessories,Accessories Product,2,N/A,0.05,8136
ORD062,2024-03-09,C008,Customer 211 ,Corporate,South,,Chair,Chair Product,9,53017,0.05,15019
ORD073,2024-01-07,C050,Customer 212 ,Home Office,South,Fashion,Apparel,Apparel Product,5,101276,0.05,10491
ORD195,2024-03-21,C144,Customer 213 ,Corporate,South,,Mobile,Mobile Product,8,78703,0.05,6746
ORD085,2024-04-08,C040,Customer 214 ,Consumer,west,Fashion,Apparel,Apparel Product,7,5060,0.15,503
ORD418,05-01-2024,C180,Customer 215 ,Consumer,east,Furniture,Storage,Storage Product,8,76406,0.1,1644
ORD311,2024-02-02,C241,Customer 216 ,Consumer,South,,Mobile,Mobile Product,5,49042,0.15,-3514
ORD168,2024-03-20,C093,  Rahul Sharma ,Home office,west,Electronics,Accessories,Accessories Product,9,51391,0.0,7692
ORD408,2024-04-22,C085,Customer 218 ,Consumer,South,Electronics,Accessories,Accessories Product,4,76988,0.05,23406
ORD125,2024-04-11,C178,Customer 219 ,Consumer,west,,Mobile,Mobile Product,8,106597,0.1,21261
ORD143,11-04-2024,C002,Customer 220 ,Corporate,EAST,Fashion,Accessories,Accessories Product,3,N/A,0.0,10450
ORD381,2024-04-29,C099,Customer 221 ,Home Office,EAST,,Mobile,Mobile Product,5,7171,0.0,19878
ORD230,2024-04-05,C183,Customer 222 ,Consumer,South,Fashion,Footwear,Footwear Product,2,136221,0.05,6549
ORD327,2024-04-16,C001,Customer 223 ,Home office,EAST,Electronics,Mobile,Mobile Product,8,50586,0.15,9889
ORD105,2024-02-11,C230,  Rahul Sharma ,consumer,EAST,,Mobile,Mobile Product,1,12216,0.1,-6148
ORD402,17-03-2024,C169,Customer 225 ,Consumer,South,Electronics,Laptop,Laptop Product,1,22370,0.05,24797
ORD130,2024-01-27,C087,Customer 226 ,Consumer,South,Fashion,Apparel,Apparel Product,7,2868,0.05,2709
ORD329,2024-03-13,C035,Customer 227 ,Consumer,west,Fashion,Accessories,Accessories Product,8,84347,0.0,4172
ORD249,2024-03-09,C225,Customer 228 ,Home Office,South,,Chair,Chair Product,4,36261,0.0,16172
ORD132,2024-02-20,C061,Customer 229 ,Home office,EAST,Fashion,Footwear,Footwear Product,5,64980,0.1,12403
ORD261,12-03-2024,C270,Customer 230 ,Consumer,east,Electronics,Laptop,Laptop Product,6,N/A,0.05,13025
ORD237,2024-03-02,C004,  Rahul Sharma ,consumer,EAST,,Apparel,Apparel Product,8,56535,0.0,24539
ORD419,2024-04-18,C008,Customer 232 ,Corporate,EAST,,Apparel,Apparel Product,7,18570,0.05,-5164
ORD257,2024-04-26,C036,Customer 233 ,Corporate,EAST,Fashion,Footwear,Footwear Product,1,103262,0.15,2553
ORD444,2024-01-17,C191,Customer 234 ,Corporate,West ,Furniture,Table,Table Product,2,3843,0.05,19990
ORD106,20-03-2024,C114,Customer 235 ,Consumer,west,Electronics,Accessories,Accessories Product,6,62241,0.15,4506
ORD199,2024-02-26,C115,Customer 236 ,Corporate,east,Fashion,Apparel,Apparel Product,4,138836,0.0,6013
ORD194,2024-02-03,C271,Customer 237 ,Corporate,South,Furniture,Storage,Storage Product,6,13479,0.0,4319
ORD112,2024-03-24,C088,  Rahul Sharma ,consumer,West ,,Apparel,Apparel Product,9,46918,0.0,21465
ORD211,2024-01-09,C014,Customer 239 ,Consumer,South,Fashion,Accessories,Accessories Product,1,67252,0.15,17368
